Date,Open,High,Low,Close,Adj Close,Volume
2017-11-06,23.077032,23.318724,22.951712,23.256063,19.760189,1429477
2017-11-07,23.265015,23.551464,23.032276,23.166550,19.684137,1592019
2017-11-08,23.077032,23.309772,22.924856,23.300821,19.798223,1914422
2017-11-09,23.157597,23.363482,23.068083,23.327677,19.821041,1241017
2017-11-10,23.300821,23.408239,22.969616,22.969616,19.516804,1008767
2017-11-13,22.817438,22.996469,22.620504,22.960663,19.509193,1210296
2017-11-14,22.862198,23.014374,22.602602,22.665262,19.258200,1199013
2017-11-15,22.513086,22.718971,22.343008,22.620504,19.220169,1604978
2017-11-16,22.718971,22.862198,22.369864,22.423573,19.052841,2141199
2017-11-17,22.325106,22.665262,22.307201,22.495184,19.113688,1724957
2017-11-20,22.575748,23.103888,22.530991,22.933809,19.486380,1967374
2017-11-21,22.996469,23.247112,22.942760,22.978565,19.524408,1282910
2017-11-22,22.969616,23.005421,22.701069,22.701069,19.288626,1080821
2017-11-24,22.862198,23.077032,22.844294,22.987518,19.532015,915486
2017-11-27,22.906954,23.094936,22.799536,22.978565,19.524408,1277883
2017-11-28,23.077032,23.793156,23.059130,23.730495,20.163307,1910736
2017-11-29,23.936380,24.249683,23.739447,23.837914,20.254578,2130251
2017-11-30,23.990089,24.052750,23.470900,23.551464,20.011187,3009878
2017-12-01,23.658882,24.007992,23.184452,23.658882,20.102461,2119080
2017-12-04,24.034845,24.169119,23.614124,23.623075,20.072035,3628208
2017-12-05,23.649931,23.649931,23.166550,23.265015,19.767796,3165941
2017-12-06,23.247112,23.345579,23.184452,23.220259,19.729769,3325578
2017-12-07,23.273968,23.390337,23.068083,23.273968,19.775406,1611010
2017-12-08,23.408239,23.479853,23.238161,23.363482,19.851467,1503989
2017-12-11,23.336626,23.479853,23.211306,23.327677,19.821041,2126453
2017-12-12,23.354530,23.569366,23.273968,23.372435,19.935562,2427519
2017-12-13,23.309772,23.354530,22.817438,22.835342,19.477453,3467565
2017-12-14,22.951712,23.014374,22.763729,22.790585,19.439278,2357699
2017-12-15,22.978565,23.184452,22.727924,22.978565,19.599617,3176777
2017-12-18,23.139694,23.345579,23.014374,23.148645,19.744688,1689209
2017-12-19,23.354530,23.542513,22.996469,23.014374,19.630163,1920343
2017-12-20,23.318724,23.837914,23.229210,23.649931,20.172258,3754109
2017-12-21,23.712591,23.882671,23.614124,23.685738,20.202805,2689597
2017-12-22,23.685738,23.685738,23.327677,23.461948,20.011923,1500526
2017-12-26,23.560415,23.811058,23.542513,23.748398,20.256248,1350496
2017-12-27,23.766300,23.766300,23.533562,23.658882,20.179897,940398
2017-12-28,23.694689,23.882671,23.596222,23.855816,20.347868,1561745
2017-12-29,23.900574,23.900574,23.515657,23.712591,20.225702,1506000
2018-01-02,23.766300,23.999041,23.569366,23.972185,20.447128,2055180
2018-01-03,23.936380,24.079603,23.855816,23.891623,20.378412,1529795
2018-01-04,23.954283,24.222830,23.846865,24.025894,20.492941,1680943
2018-01-05,24.079603,24.097507,23.855816,24.061701,20.523481,1130757
2018-01-08,24.043798,25.019514,23.945332,24.392908,20.805986,2836276
2018-01-09,24.509277,25.189592,24.509277,24.706211,21.073215,4254470
2018-01-10,24.652502,24.983707,24.545082,24.921047,21.256464,1662286
2018-01-11,24.947903,25.261206,24.947903,25.046370,21.363350,1506894
2018-01-12,25.189592,25.332817,24.894194,25.001612,21.325178,1402442
2018-01-16,25.135883,25.216448,24.571938,24.661453,21.035040,1477178
2018-01-17,24.795727,24.965805,24.545082,24.903145,21.241186,1276989
2018-01-18,24.858387,24.885241,24.562986,24.733067,21.096123,1071102
2018-01-19,24.867338,25.162739,24.831532,25.073223,21.386261,1381552
2018-01-22,24.885241,25.073223,24.768871,24.983707,21.309908,1231075
2018-01-23,24.965805,25.019514,24.715162,24.742018,21.103756,1340107
2018-01-24,24.947903,24.992661,24.652502,24.652502,21.027403,1541748
2018-01-25,24.733067,24.759920,24.473471,24.554035,20.943419,843543
2018-01-26,24.661453,24.750969,24.491373,24.733067,21.096123,1146955
2018-01-29,24.625647,24.795727,24.321295,24.330248,20.752535,1101600
2018-01-30,24.213877,24.357101,24.124363,24.249683,20.683821,1382669
2018-01-31,24.258635,24.383957,24.106459,24.231779,20.668549,1559064
2018-02-01,24.195974,24.267586,23.972185,24.195974,20.638008,1437855
2018-02-02,24.097507,24.187021,23.470900,23.533562,20.073002,1838011
2018-02-05,23.273968,23.551464,22.163979,22.172930,18.912451,2726909
